name,r_p,gain,cover_call,quarter,down,dist,line,line_type,play_note,action,opponent
"18 03 HARVARD DEF vs URI OFF NEW, Play 062",R,-2,SKY,4,3,22,DOUBLES,2X2,ZONE,READ,University of Rhode Island
"18 04 HARVARD DEF vs CORNELL OFF, Play 001",R,3,HILL,1,1,10,TREO,3X1 NUB,ZONE,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 002",R,2,REBEL,1,2,7,TWINS,2X2 NUB,POWER,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 004",P,5,SKY,1,3,10,TRIPS,3X1,SCREEN,READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 005",R,6,HILL,1,1,10,DOUBLES,2X2,ZONE,READ,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 006",R,12,HILL,1,2,4,TREY,3X1,DRAW,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 007",R,2,REBEL,1,1,10,TRIPS,3X1,ZONE,SPLIT,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 008",R,0,HILL,1,2,8,TWINS,2X2 NUB,STRETCH,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 009",P,2,WHACK,1,3,8,TREY,3X1,DB,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 010",P,11,REBEL,1,1,10,TWINS,2X2 NUB,PAP,OZ TOKEN,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 011",R,6,HILL,1,1,10,TREY,3X1,GAP,SHOP,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 012",R,5,HILL,1,2,4,TREO,3X1 NUB,STRETCH,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 013",R,1,REBEL,1,1,10,TWINS,2X2 NUB,STRETCH,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 014",R,6,SPACE,1,2,9,TRIPS,3X1,ZONE,GRAB READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 015",R,-2,REBEL,1,3,3,DOS,2X2,ZONE,BLIND,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 016",R,1,HILL,2,1,10,TWINS,2X2 NUB,ZONE,READ LB,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 017",R,-1,REBEL,2,2,9,DOUBLES,2X2,GAP,READ LB,Cornell University
