name,r_p,gain,cover_call,opponent
"18 03 HARVARD DEF vs URI OFF NEW, Play 055",R,1,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 056",P,0,SALUTE,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 057",R,2,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 058",P,0,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 059",R,1,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 060",R,1,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 061",R,-3,HILL,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 062",R,-2,SKY,University of Rhode Island
"18 04 HARVARD DEF vs CORNELL OFF, Play 001",R,3,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 002",R,2,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 004",P,5,SKY,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 005",R,6,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 006",R,12,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 007",R,2,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 008",R,0,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 009",P,2,WHACK,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 010",P,11,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 011",R,6,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 012",R,5,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 013",R,1,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 014",R,6,SPACE,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 015",R,-2,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 016",R,1,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 017",R,-1,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 018",P,0,BUC,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 019",P,6,REBEL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 020",R,17,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 021",R,6,HILL,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 022",P,0,HILL,Cornell University
